Fecha,Presentacion,Origen,Destino,Transporte,Volumen ton
2002-02-13,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1380.0
2002-02-15,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-02-15,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2002-02-21,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,5.0
2002-02-21,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2002-03-01,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2002-03-01,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,12.0
2002-03-07,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,6.0
2002-03-07,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,15.0
2002-03-11,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1470.0
2002-03-14,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,20.0
2002-03-14,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,10.0
2002-03-14,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1530.0
2002-03-15,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,5.0
2002-03-15,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,12.0
2002-03-18,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1650.0
2002-03-18,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1425.0
2002-03-22,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2002-03-22,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2002-03-27,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-03-27,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,12.0
2002-04-03,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1515.0
2002-04-04,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2002-04-04,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,9.0
2002-04-04,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1410.0
2002-04-05,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,975.0
2002-04-11,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-04-11,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-04-15,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1500.0
2002-04-16,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1485.0
2002-04-18,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2002-04-18,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2002-04-23,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1410.0
2002-04-25,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-04-25,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2002-04-30,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1440.0
2002-05-02,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2002-05-02,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,11.0
2002-05-07,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1155.0
2002-05-08,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,15.0
2002-05-08,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,30.0
2002-05-09,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-05-09,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2002-05-14,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1440.0
2002-05-21,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1410.0
2002-05-23,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2002-05-23,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2002-05-28,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1455.0
2002-05-30,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-05-30,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-06-04,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,20.0
2002-06-04,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,10.0
2002-06-05,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1155.0
2002-06-13,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2002-06-13,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2002-06-18,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,975.0
2002-06-20,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-06-20,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,5.0
