producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-11,SORIANA SUPER,SORIANA SUPER SUCURSAL EUGENIA (279),"EUGENIA 901, ESQ. GABRIEL MANCERA",DEL VALLE,3100,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-12,BODEGA AURRERA,BODEGA AURRERA SUCURSAL XOCHIMILCO,"PROL. DIV. DEL NORTE 5333, CASI ESQ. GUADALUPE I",POTRERO  SAN BERNARDINO,16030,Xochimilco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-12,BODEGA AURRERA,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,"RIO CHURUBUSCO 1120, ESQ. APATLACO",IZTACALCO INFONAVIT,8900,Iztacalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-05-12,CENTRAL DE ABASTOS,CENTRAL DE ABASTO IZTAPALAPA (IZTAPALAPA),"PROL. EJE 6 SUR 520, ESQ. CANAL DE APATLACO",EJIDOS DEL MORAL,9030,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-12,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,9319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-12,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PERIFERICO,"CALZ. DE TLALPAN NO. 4467, ENTRE PERIFERICO SUR Y HUIPU",TORIELLO GUERRA,14050,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-12,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL LA VIGA (251),CALZ. DE LA VIGA 1801,UNIDAD MODELO,9080,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-12,SORIANA SUPER,SORIANA SUPER SUCURSAL TORIELLO (284),CALZADA DE TLALPAN 4515,TORIELLO GUERRA,14050,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-13,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,3910,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-13,WAL-MART,WALMART SUCURSAL PORTAL CENTRO,"AV. LORENZO BOTURINI 258, ENTRE FRANCISCO JAVIER CLAVIJ",TRANSITO,6820,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-13,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,9820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-13,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,80.0,2026-05-13,MERCADO PUBLICO,MERCADO LA PURISIMA,"LUIS HIDALGO MONROY 423, ESQ. QUETZAL",LEYES DE REFORMA 1A. SECCIÓN,9340,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-05-13,MERCADO SORIANA,MERCADO SORIANA SUCURSAL SAN LORENZO XALPA (986),"AV. SAN LORENZO 2171, ENTRE NAUTLA Y ESTRELLA",SAN JUAN XALPA,9850,Iztapalapa,Ciudad de México
