producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MEGA SORIANA,MEGA SORIANA SUCURSAL MEGA CORAZON GRAN PATIO,"PASEO TOLLOCAN 52, ESQ. 28 DE OCTUBRE",VERTICE,50090,Toluca,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MEGA SORIANA,MEGA SORIANA,"ARTILLEROS DE 47 NO. 1520, ENTRE ENRIQUE RAMIREZ Y CURT",CHAPULTEPEC ORIENTE,58260,Morelia,Michoacán
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MEGA SORIANA,MEGA SORIANA,"ARTILLEROS DE 47 NO. 1520, ENTRE ENRIQUE RAMIREZ Y CURT",CHAPULTEPEC ORIENTE,58260,Morelia,Michoacán
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL M LAS FLORES (500),"LOPEZ PORTILLO 105, BLVD. COACALCO Y BLVD. FLORES",ZACUAUTITLAN,55700,Coacalco,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL M LAS FLORES (500),"LOPEZ PORTILLO 105, BLVD. COACALCO Y BLVD. FLORES",ZACUAUTITLAN,55700,Coacalco,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-04-29,CENTRAL DE ABASTOS,CENTRAL DE ABASTO SUCURSAL VILLAHERMOSA,"PERIF. CARLOS PELLICER CAMARA S/N, INT. CENTRAL DE ABAS",CARRIZAL,86108,Centro,Tabasco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-04-29,CENTRAL DE ABASTOS,CENTRAL DE ABASTO SUCURSAL VILLAHERMOSA,"PERIF. CARLOS PELLICER CAMARA S/N, INT. CENTRAL DE ABAS",CARRIZAL,86108,Centro,Tabasco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL 226,"CARR. SAUCEDA DE LA BORDA 36, ENTRE CAMINO REAL Y DEL D",SPAUAZ,98600,Zacatecas,Zacatecas
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL 226,"CARR. SAUCEDA DE LA BORDA 36, ENTRE CAMINO REAL Y DEL D",SPAUAZ,98600,Zacatecas,Zacatecas
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL CAMPECHE,"MARIA LAVALLE URBINA, ENTRE JOAQUIN CLAUSEL Y RICARDO C",AH KIN PEACH,24014,Campeche,Campeche
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL CAMPECHE,"MARIA LAVALLE URBINA, ENTRE JOAQUIN CLAUSEL Y RICARDO C",AH KIN PEACH,24014,Campeche,Campeche
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,49.95,2026-04-29,SUPER AKI,SUPER AKI SUCURSAL CRUCERO,"LOPEZ PORTILLO MZ. 1 LT. 31, ESQ. PROLONG. TULUM",SUPERMANZANA 66,77500,Benito Juárez,Quintana Roo
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,49.95,2026-04-29,SUPER AKI,SUPER AKI SUCURSAL CRUCERO,"LOPEZ PORTILLO MZ. 1 LT. 31, ESQ. PROLONG. TULUM",SUPERMANZANA 66,77500,Benito Juárez,Quintana Roo
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL 3506,"SIMBOLOS PATRIOS 1319, ENTRE FRESNOS Y CDA. SIMBOLOS PA",EXHACIENDA CANDIANI,68130,Oaxaca,Oaxaca
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL 3506,"SIMBOLOS PATRIOS 1319, ENTRE FRESNOS Y CDA. SIMBOLOS PA",EXHACIENDA CANDIANI,68130,Oaxaca,Oaxaca
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,09319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,09319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL MINA,"FCO. JAVIER MINA S/N ENTRE LAMBERTO CASTELLANOS, Y RUIZ",CENTRO,86000,Centro,Tabasco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL MINA,"FCO. JAVIER MINA S/N ENTRE LAMBERTO CASTELLANOS, Y RUIZ",CENTRO,86000,Centro,Tabasco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,44.9,2026-04-29,LEY (AUTOSERVICIO),LEY SUCURSAL HIDALGO (1102),"BLVD. HIDALGO 1405, ENTRE BLVD. CAMPESPRE Y DEL AVIO",FRACC. DE LOS GOMEZ,37470,León,Guanajuato
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,44.9,2026-04-29,LEY (AUTOSERVICIO),LEY SUCURSAL HIDALGO (1102),"BLVD. HIDALGO 1405, ENTRE BLVD. CAMPESPRE Y DEL AVIO",FRACC. DE LOS GOMEZ,37470,León,Guanajuato
